order_id,customer_id,product_id,quantity,order_date,amount,status
O2001,C0044,P034,4,2023-03-07,758.09,shipped
O2002,C0072,P039,2,27-Jan-2023,372.86,delivered
O2003,C0135,P015,1,09-Jan-2023,88.08,Pending
O2004,C0190,P035,1,06-Jun-2023,423.13,Cancelled
O2005,C0063,P015,1,07-Jun-2023,219.95,delivered
O2006,C0017,P009,2,2023-01-18,611.73,SHIPPED
O2007,C0163,P005,1,05/16/2023,88.9,Pending
O2008,C0003,P038,4,05/25/2023,163.89,Shipped
O2009,C0065,P049,2,06/10/2023,391.79,delivered
O2010,C0137,P016,5,2023-02-16,357.63,SHIPPED
O2011,C0131,P031,4,21-Mar-2023,84.71,Pending
O2012,C0047,P013,2,04-Apr-2023,251.25,SHIPPED
O2013,C0157,P014,2,20-Feb-2023,323.03,shipped
O2014,C0084,P034,4,04/28/2023,222.81,SHIPPED
O2015,C0038,P020,3,04/01/2023,345.99,Shipped
O2016,C0105,P023,4,22-Feb-2023,25.39,SHIPPED
O2017,C9999,P024,4,20-Feb-2023,452.38,pending
O2018,C0071,P007,4,25-Jan-2023,478.42,pending
O2019,C0177,P046,5,09-Mar-2023,,SHIPPED
O2020,C0113,P019,1,2023-02-28,622.44,Pending
O2021,C0077,P037,2,05/17/2023,441.8,Cancelled
O2022,C0006,P009,3,2023-06-07,295.37,SHIPPED
O2023,C0120,P015,3,01/21/2023,,pending
O2024,C0102,P032,1,02-Apr-2023,,delivered
O2025,C0084,P035,1,2023-01-18,456.59,delivered
O2026,C0132,P006,2,03/15/2023,616.02,Cancelled
O2027,C0039,P042,5,04/01/2023,426.89,Pending
O2028,C0076,P001,1,19-Feb-2023,347.45,delivered
O2029,C0084,P035,5,2023-05-05,715.66,delivered
O2030,C0038,P014,5,2023-05-12,677.31,SHIPPED
O2031,C0081,P015,2,02/25/2023,224.15,Shipped
O2032,C0036,P029,1,04/02/2023,597.71,pending
O2033,C0103,P013,1,2023-06-17,148.33,shipped
O2034,C0194,P014,5,03-Feb-2023,796.33,SHIPPED
O2035,C0123,P017,1,01/12/2023,644.7,SHIPPED
O2036,C0017,P028,2,2023-04-16,76.72,SHIPPED
O2037,C0187,P042,2,02/23/2023,17.33,delivered
O2038,C0010,P004,3,06-Feb-2023,337.75,shipped
O2039,C0190,P043,1,04/21/2023,33.68,delivered
O2040,C0068,P040,3,2023-02-14,381.7,Pending
O2041,C0097,P049,0,2023-04-03,285.45,pending
O2042,C0119,P027,2,04/16/2023,,shipped
O2043,C0083,P043,1,2023-02-05,601.49,Pending
O2044,C0034,P010,1,02/08/2023,233.02,shipped
O2045,C0187,P043,4,2023-03-25,420.73,SHIPPED
O2046,C0109,P024,1,2023-02-06,641.82,shipped
O2047,C0163,P003,4,07-Mar-2023,461.95,delivered
O2048,C0148,P026,5,25-Jun-2023,357.49,SHIPPED
O2049,C0087,P012,4,25-Mar-2023,,SHIPPED
O2050,C0017,P999,0,04-Jan-2023,189.43,Cancelled
