order_id,customer_id,product_id,quantity,order_date,amount,status
O1001,C0114,P042,2,2023-03-05,224.19,Pending
O1002,C0190,P038,5,03/23/2023,,Shipped
O1003,C0175,P050,2,2023-04-21,748.68,delivered
O1004,C0074,P021,1,01/06/2023,193.45,delivered
O1005,C0046,P003,4,2023-03-02,601.71,SHIPPED
O1006,C0146,P039,3,28-Feb-2023,516.64,pending
O1007,C0070,P013,4,03/26/2023,,Pending
O1008,C0173,P049,4,2023-06-04,,shipped
O1009,C0123,P999,4,19-Mar-2023,605.47,Pending
O1010,C0003,P017,1,17-Jun-2023,377.66,delivered
O1011,C0080,P045,3,04/05/2023,184.47,Cancelled
O1012,C0156,P024,4,22-Feb-2023,643.58,delivered
O1013,C0021,P034,1,07-May-2023,98.64,Pending
O1014,C0039,P011,1,2023-05-15,576.37,pending
O1015,C0034,P033,5,2023-04-09,647.46,Cancelled
O1016,C0056,P038,1,04/02/2023,57.6,pending
O1017,C0047,P050,4,2023-04-13,714.15,Cancelled
O1018,C0170,P035,1,2023-06-08,434.43,delivered
O1019,C0006,P020,4,03/05/2023,660.45,shipped
O1020,C0186,P049,4,2023-02-07,749.63,Shipped
O1021,C0153,P003,1,2023-05-07,44.95,shipped
O1022,C0129,P019,5,03/08/2023,482.35,shipped
O1023,C0170,P034,1,21-Feb-2023,477.42,pending
O1024,C0143,P032,4,02/10/2023,261.8,shipped
O1025,C0194,P035,3,01/18/2023,124.04,pending
O1026,C0143,P034,2,03-Mar-2023,72.47,Cancelled
O1027,C0049,P004,5,24-May-2023,67.5,Pending
O1028,C0056,P031,3,04-Jun-2023,22.11,delivered
O1029,C0123,P016,4,15-Apr-2023,446.14,Cancelled
O1030,C0092,P020,4,03/07/2023,644.23,SHIPPED
O1031,C0106,P003,2,06/14/2023,447.12,shipped
O1032,C0051,P022,2,03/25/2023,527.14,Cancelled
O1033,C0165,P048,3,2023-05-21,579.05,Pending
O1034,C0009,P005,1,2023-06-05,675.61,shipped
O1035,C0130,P030,5,05/18/2023,,Shipped
O1036,C0005,P034,3,2023-02-04,652.39,Pending
O1037,C0039,P016,3,15-Apr-2023,323.55,shipped
O1038,C0179,P015,1,01/13/2023,687.99,pending
O1039,C0142,P999,2,2023-03-19,677.81,Pending
O1040,C0011,P015,5,18-Mar-2023,,Cancelled
O1041,C0009,P012,2,04/03/2023,604.28,shipped
